Time(s),Neutron_Density(#/cc),Power(MW),Reactivity($),Fuel_Temp(K),Coolant_Temp(K),Flow_Rate(kg/s),Rod_Position(%),Xe-135(atoms/cc),Sm-149(atoms/cc),Burnup(MWd/kgU),U-235(atoms/cc),U-238(atoms/cc),Pu-239(atoms/cc),FP(atoms/cc)
0.5000000000000003,99.65092962171288,5.4788718871967316e-05,-0.050000000082983415,450.0000077070774,450.0000000266635,200.04187048224583,0.0,0.0006366283401683916,1.470335209613391e-14,3.1189582235761757e-14,9.839999999999553e+20,2.21e+22,4253412.342455748,82678269.7646803
1.0000000000000007,89.45480413358364,4.918282382339073e-05,-0.05000000015313397,450.00001422228587,450.00000009835395,200.04519755761592,0.0,0.001188333976937769,1.1100518744966396e-13,5.820996266266592e-14,9.839999999999166e+20,2.21e+22,7938258.735616533,154304695.7037334
1.50499999999999,81.73249635390556,4.4937049583353936e-05,-0.05000000021568844,450.0000200321849,450.0000002087208,199.84720329501567,0.0,0.0016935537219277272,3.639876158168191e-13,8.294511789569307e-14,9.839999999998902e+20,2.21e+22,11311462.447209535,219873378.91240028
2.0099999999999794,75.50485813353535,4.151305423290979e-05,-0.05000000027159676,450.0000252247461,450.00000035117364,200.048603562982,0.0,0.0021580344908470163,8.399853617781097e-13,1.056773710022293e-13,9.839999999998637e+20,2.21e+22,14411524.679665226,280132709.75223535
2.5149999999999686,70.27907848545726,3.863988713740671e-05,-0.05000000032194731,450.0000299011881,450.00000052069737,199.84971420011632,0.0,0.002588976496531008,1.6003123944115238e-12,1.2676004094369802e-13,9.839999999998428e+20,2.21e+22,17286628.54810143,336019276.606654
3.019999999999958,65.78630165777645,3.61697296837761e-05,-0.05000000036752695,450.00003413435394,450.00000071304834,200.0506050661895,0.0,0.0029914263609499606,2.7018128230823003e-12,1.464408389879115e-13,9.839999999998162e+20,2.21e+22,19970555.145061094,388189719.852212
3.524999999999947,61.86039079397686,3.401123876502957e-05,-0.050000000408938206,450.00003798030696,450.00000092457043,199.85137422264225,0.0,0.0033691811678592154,4.197538354346843e-12,1.6490618928469364e-13,9.839999999997883e+20,2.21e+22,22488727.66389743,437138218.155147
4.029999999999936,58.39017949816547,3.2103294385240164e-05,-0.05000000044666508,450.000041484092,450.00000115209104,200.0520278972293,0.0,0.0037252350350720207,6.137255588667879e-12,1.8230312444444432e-13,9.839999999997633e+20,2.21e+22,24861197.361312065,483254529.9205247
4.5349999999999255,55.296748032178215,3.040250596727899e-05,-0.050000000481110536,450.00004468302836,450.00000139282804,199.8526163986048,0.0,0.004062029309764262,8.567841195565858e-12,1.987515541898241e-13,9.839999999997359e+20,2.21e+22,27104316.668398436,526856515.3980457
5.039999999999915,52.52126733720762,2.8876528918107706e-05,-0.0500000005126136,450.00004760869325,450.000001644344,200.05313274068092,0.0,0.0043816034505335215,1.1533607628256772e-11,2.1435166497408718e-13,9.839999999997102e+20,2.21e+22,29231748.29771214,568209751.8098181
5.544999999999904,50.01805919363971,2.7500249060241948e-05,-0.0500000005414664,450.0000502882447,450.00000190448816,199.8536093803055,0.0,0.004685691191842856,1.5076578219524012e-11,2.2918863679870344e-13,9.839999999996873e+20,2.21e+22,31255108.48915156,607540036.8304292
6.049999999999893,47.75046920847778,2.6253513573824016e-05,-0.05000000056792264,450.00005274525756,450.0000021713671,200.05403612204287,0.0,0.0049757850522715715,1.923671548173852e-11,2.4333580786231633e-13,9.839999999996676e+20,2.21e+22,33184398.582168173,645041777.5322671
6.5549999999998825,45.688330439055534,2.511973648070754e-05,-0.05000000059220454,450.0000550004172,450.00000244330187,199.85443666707164,0.0,0.00525318151656112,2.405211936829457e-11,2.5685689146916013e-13,9.839999999996532e+20,2.21e+22,35028307.34189382,680883867.0321206
7.059999999999872,43.80634672179727,2.4085009788263154e-05,-0.050000000614508995,450.000057071924,450.0000027188182,200.0548003315509,0.0,0.005519014199541498,2.9559199433375435e-11,2.6980760352151316e-13,9.8399999999964e+20,2.21e+22,36794432.90493156,715213998.6964391
7.564999999999861,42.08301955268212,2.313751348138976e-05,-0.05000000063500991,450.00005897590665,450.00000299660485,199.8551457540197,0.0,0.005774279207861003,3.5792825313241836e-11,2.822369073077071e-13,9.839999999996267e+20,2.21e+22,38489452.53464912,748161965.8623323
8.064999999999861,40.5149443877559,2.227537572003227e-05,-0.05000000065368228,450.0000607100454,450.00000327274836,199.85546260278602,0.0,0.006017468656660994,4.271338422257138e-11,2.940718872533902e-13,9.839999999996136e+20,2.21e+22,40103422.52607606,779534481.7624166
8.564999999999939,39.06883979434691,2.148029815950661e-05,-0.050000000670871125,450.00006230638576,450.00000354899834,199.85576047336406,0.0,0.006251915307524004,5.0410208146866293e-11,3.0547521289918466e-13,9.839999999996005e+20,2.21e+22,41658526.588714965,809762755.640232
9.065000000000017,37.73125730412904,2.0744886745856888e-05,-0.05000000068669583,450.0000637760153,450.0000038244821,199.8560415132398,0.0,0.006478290057992317,5.891338513025827e-11,3.16479874340834e-13,9.839999999995874e+20,2.21e+22,43159263.67607388,838934238.6201524
9.565000000000095,36.49046809672054,2.0062692898572773e-05,-0.0500000007012634,450.0000651288748,450.0000040984296,199.8563075247853,0.0,0.006697190473526567,6.825194819530879e-11,3.271152597093466e-13,9.839999999995743e+20,2.21e+22,44609641.5314499,867126833.6315917
10.065000000000174,35.336817865834064,1.9428408618269908e-05,-0.049999026938582075,450.00006637391556,450.00000437016337,199.85656003546046,0.14049652451907255,0.006909151427909249,7.845389582579271e-11,3.374076776681805e-13,9.839999999995513e+20,2.21e+22,46013247.94236219,894410280.4600419
10.565000000000252,34.26368850061637,1.883839522524528e-05,-0.04999313197385267,450.0000675193125,450.0000046390881,199.85680035108788,0.3731445616533373,0.007114660480091765,8.954639772110257e-11,3.4738111116720293e-13,9.839999999995477e+20,2.21e+22,47373353.53212997,920848153.8204143
11.06500000000033,33.263803326276175,1.8288651957127927e-05,-0.0499809392077804,450.0000685725813,450.00000490468454,199.8570295967691,0.6216149648123215,0.007314166030690495,1.0155578603028098e-10,3.570576179520884e-13,9.839999999995469e+20,2.21e+22,48692966.37848203,946498925.0392389
11.565000000000408,32.329914063396735,1.7775193663505532e-05,-0.049962531574836766,450.0000695405399,450.0000051665001,199.85724874870698,0.8715379452605511,0.007508073233688835,1.1450758470333686e-10,3.6645713089679196e-13,9.839999999995464e+20,2.21e+22,49974804.78432664,971415432.7700603
12.065000000000486,31.45565155498258,1.7294518541099376e-05,-0.04993795510670355,450.00007042936704,450.0000054241422,199.85745865936263,1.1215375408269757,0.00769674759152132,1.2842658063638094e-10,3.755976346720216e-13,9.839999999995464e+20,2.21e+22,51221321.37053545,995645351.3114752
12.565000000000564,30.63541536539627,1.684354743455321e-05,-0.04990721596831724,450.00007124468146,450.0000056772738,199.85766007752775,1.3715375016107814,0.007880519753270946,1.4333687469455322e-10,3.8449540135553425e-13,9.839999999995464e+20,2.21e+22,52434735.20679147,1019231815.1698759
13.065000000000643,29.864257478858566,1.64195598931243e-05,-0.049870316081334715,450.0000719915947,450.000005925604,199.85785366448115,1.6215374995000553,0.00805968965335005,1.592619251342261e-10,3.9316519367448234e-13,9.839999999995464e+20,2.21e+22,53617059.528328426,1042213957.8203039
13.56500000000072,29.137797060068454,1.6020147305526818e-05,-0.04982725772568674,450.0000726747806,450.0000061688886,199.8580400071176,1.871537499469713,0.00823453005804691,1.762245867012375e-10,4.016204391821855e-13,9.839999999995464e+20,2.21e+22,54770125.48891389,1064627373.4193972
14.065000000000799,28.452148871054625,1.564317354305861e-05,-0.049778043557737746,450.0000732985194,450.0000064069209,199.85821962870267,2.121537499466794,0.008405289661817123,1.9424714615774285e-10,4.0987338232710486e-13,9.839999999995464e+20,2.21e+22,55895602.89892909,1086504519.914346
14.565000000000877,27.803861138774224,1.5286740798809356e-05,-0.049722676613295845,450.0000738667335,450.00000663952784,199.85839299775336,2.3715374994664993,0.008572195793992658,2.1335135467856703e-10,4.1793521739265195e-13,9.839999999995464e+20,2.21e+22,56995018.35475069,1107875071.4436705
